Company,Headquarter,Sector,Investor,Amount,Stage,fundyear
Aqgromalin,Chennai,Agritech,Angel investors,200000.0,Series A,2020
Krayonnz,Bangalore,EdTech,GSF Accelerator,100000.0,Pre-seed,2020
PadCare Labs,Pune,Hygiene Management,Venture Center,113042969.54307117,Pre-seed,2020
NCOME,New Delhi,Escrow,"Venture Catalysts, PointOne Capital",400000.0,Series A,2020
Gramophone,Indore,Agritech,"Siana Capital Management, Info Edge",340000.0,Series A,2020
qZense,Bangalore,Agritech,"Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020
MyClassboard,Hyderabad,EdTech,ICICI Bank.,600000.0,Pre-series A,2020
Metvy,Gurgaon,Networking Platform,HostelFund,113042969.54307117,Pre-series,2020
Rupeek,Bangalore,FinTech,"KB Investment, Bertelsmann India Investments",45000000.0,Series C,2020
Gig India,Pune,Crowdsourcing,"Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020
Slurrp Farm,Gurgaon,Food & Beverage,Fireside Ventures,2000000.0,Series A,2020
Medfin,Bangalore,Healthtech,"Axilor Ventures, S.D. Shibulal",113042969.54307117,Series A,2020
MasterG,New Delhi,Fashion Startup,Acumen Fund's angel programme,113042969.54307117,Series A,2020
Brila 91,New Delhi,Food & Beverage,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Series A,2020
FoodyBuddy,Belgaum,Food & Beverage,Rebel Foods,600000.0,Series A,2020
Zomato,Gurgaon,Food Delivery,"Kora, Tiger Global Management",660000000.0,Series A,2020
OurEye.ai,Bangalore,Virtual Auditing Startup,"100X VC, Amara Ventures",120000.0,Series A,2020
Shiprocket,New Delhi,E-Commerce,"Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C,2020
Pine Labs,Noida,FinTech,"Mastercard, Temasek Holdings",113042969.54307117,Series A,2020
Moneyboxx Finance,New Delhi,FinTech,"BlackSoil, Caspian",1000000.0,Series A,2020
EWar,Bangalore,Gaming,"Jindal Steels, Jeet Banerjee",113042969.54307117,Pre-series A,2020
SucSEED Indovation,Hyderabad,FinTech,Venture Catalysts,5000000.0,Series A,2020
TaxBuddy.com,Mumbai,FinTech,Zenith Global,1000000.0,Series A,2020
Awign Enterprises,Bangalore,Work Fulfillment,"Unitus Ventures, Work10M",500000.0,Series A,2020
Circle of Angels,Gurgaon,FinTech,Venture Catalysts,3000000.0,Series A,2020
CoinDCX,Mumbai,FinTech,"Coinbase Ventures, Polychain",10000000.0,Series B,2020
Glance,Bangalore,Ai Startup,Mithril Capital Management.,145000000.0,Series A,2020
VerSe Innovation,Bangalore,Telecommunications,Google,100000000.0,Series A,2020
Voosh,Bangalore,Food & Beverage,Better Capital,113042969.54307117,Pre-seed,2020
Delhivery,Gurgaon,E-Commerce,"Steadview Capital, Canada Pension Plan Investment Board",113042969.54307117,Series A,2020
Arya,Noida,Agritech,Quona Capital,21000000.0,Series B,2020
Pickrr,New Delhi,Logistics,Swastika,4000000.0,Series A,2020
PhonePe,Andheri,FinTech,"Flipkart, Walmart",20000000.0,Series A,2020
Countingwell,Bangalore,EdTech,"Delhi Private School, UAE, Interstar",1000000.0,Pre-series A,2020
Callify.ai,Mumbai,Tech Startup,Malpani Ventures,560000.0,Seed,2020
Hudle,New Delhi,Sports,Survam Partners,113042969.54307117,Pre-series A,2020
Cover it Up,Chennai,E-Commerce,Angel investors,400000.0,Seed,2020
BiteSpeed,Gurgaon,E-Commerce,Whiteboard Capital,275000.0,Seed,2020
WakeFit,Bangalore,Retail,Sequoia Capital.,20000000.0,Series B,2020
Sreyas Holistic Remedies,Hyderabad,Medtech,Blacksoil,1000000.0,Series A,2020
Fleeca India,Jaipur,Tyre Management,Bridgestone India,113042969.54307117,Series A,2020
M1xchange,Gurgaon,FinTech,"BEENEXT, Mayfield Fund",4500000.0,Series A,2020
Exotel,Bangalore,Cloud Company,"A91 Partners, Artha India Ventures",5000000.0,Series A,2020
PagarBook,Bangalore,Software Company,"Sequoia Capital, India Quotient",15000000.0,Series A,2020
PointOne Capital,Bangalore,Venture Capitalist,Venture Catalysts,113042969.54307117,Series A,2020
Ayana,Bangalore,Renewable Player,"NIIF Ltd, CDC Group",390000000.0,Series A,2020
Fisdom,Bangalore,FinTech,"PayU Finance India, Quona Capital",7000000.0,Series A,2020
Tinker Coders,Noida,EdTech,STEMROBO Technologies,113042969.54307117,Seed,2020
Infinite Uptime,Pune,Iot Startup,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B,2020
HappyLocate,Bangalore,Saas Startup,The CoWrks Foundry,500000.0,Pre-series A,2020
PhonePe,New Delhi,FinTech,Flipkart,700000000.0,Series A,2020
Loop Health,Pune,Healthtech,"Y Combinator, Sierra Ventures",2300000.0,Seed,2020
